code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score,trend_score,trend_normalized,trend_phase,daily_trend_score,weekly_trend_score,monthly_trend_score
002981,朝阳科技,26.36,True,21.68,20.48,8,6.86,-25.02,-7.2,5.87,0.0938,2026-07-10,2026-07-22,63.57,0.4592,-0.4046,0.6489,0.3137,0.8096,0.0,0.2645,-0.5827,0.2087,多周期共振看空 ⬇⬇⬇,-0.1937,-0.5521,-0.5625
002980,华盛昌,88.61,True,87.48,102.35,1,5.35,-21.75,-8.6,-14.53,0.0,2026-07-22,2026-07-22,41.86,0.1368,-0.3524,1.0801,0.1411,0.7079,0.0,0.2642,0.0387,0.5193,多周期方向不一致，观望,-0.4501,-0.0067,0.5625
002197,证通电子,37.22,True,6.97,5.81,2,19.9,-9.98,-3.29,19.9,0.1997,2026-07-20,2026-07-22,67.71,0.2688,-0.2122,0.7272,0.2764,0.7175,0.0,0.2642,-0.6686,0.1657,多周期共振看空 ⬇⬇⬇,-0.2391,-0.7021,-0.5625
002998,优彩资源,18.64,True,6.89,7.03,7,9.96,-13.31,-2.48,-1.95,0.0006,2026-07-22,2026-07-22,37.9,0.4647,0.2225,0.7188,0.5678,0.62,0.0,0.2641,-0.5409,0.2295,多周期共振看空 ⬇⬇⬇,-0.2622,-0.469,-0.495
002533,金杯电工,66.06,True,10.36,10.56,1,0.56,-9.99,-4.14,-1.86,0.0,2026-07-22,2026-07-22,43.7,0.455,-0.3462,0.3414,0.3345,0.7488,0.431,0.2638,-0.6682,0.1659,多周期共振看空 ⬇⬇⬇,-0.5523,-0.6577,-0.3375
002408,齐翔腾达,130.68,True,4.75,4.84,4,2.87,-7.37,-1.89,-1.76,0.0458,2026-07-22,2026-07-22,41.14,0.2568,0.0497,0.4567,0.3739,0.692,0.2389,0.2636,-0.6212,0.1894,多周期共振看空 ⬇⬇⬇,-0.4964,-0.6023,-0.3375
002876,三利谱,37.85,True,25.41,30.29,8,13.35,-21.92,-4.13,-16.11,0.0,2026-07-22,2026-07-22,20.33,0.8406,-0.477,0.5448,0.5135,0.2296,0.0919,0.2636,-0.0615,0.4693,多周期方向不一致，观望,-0.414,-0.0067,0.0911
002297,博云新材,97.89,True,17.08,24.27,10,42.37,-36.59,-2.74,-29.61,0.0,2026-07-22,2026-07-22,11.85,0.6568,0.1614,0.7191,0.6586,0.0411,0.0,0.2633,0.0033,0.5017,多周期方向不一致，观望,-0.3855,-0.1052,0.45
002119,康强电子,83.8,True,22.33,31.97,11,29.29,-35.46,-0.64,-30.16,0.0,2026-07-22,2026-07-22,16.7,0.6974,-0.1724,1.0276,0.5495,0.1489,0.0,0.2628,0.0445,0.5222,多周期方向不一致，观望,-0.3172,0.3312,0.1365
002902,铭普光磁,38.71,True,21.79,26.02,0,-3.38,-23.98,-13.75,-16.25,0.0,2026-07-22,2026-07-22,29.59,0.6856,-0.604,0.8417,0.4114,0.4353,0.0,0.2624,-0.0811,0.4595,月线看多，中短期调整中,-0.7425,-0.1998,0.45
