code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score
600716,凤凰股份,31.92,False,3.41,3.59,3,0.38,-9.14,-4.05,-4.92,0.0,从未跌破（观测期内）,2026-07-03,32.65,0.5477,-0.3109,0.317,0.4043,0.5034,0.4716,0.2725
603176,XD汇通集,20.5,False,4.44,4.61,0,-3.78,-10.4,-7.76,-3.78,0.0,从未跌破（观测期内）,2026-07-03,33.04,0.3897,-0.1505,0.2931,0.3736,0.5119,0.5115,0.2725
600787,中储股份,94.62,False,4.36,4.38,0,-0.42,-7.19,-3.79,-0.42,0.0,从未跌破（观测期内）,2026-07-03,42.65,-0.2657,-0.0793,0.2589,0.1683,0.7255,0.5685,0.2724
002488,金固股份,88.51,False,9.62,9.59,1,0.3,-11.84,-6.9,0.3,0.0,从未跌破（观测期内）,2026-07-03,48.43,0.1102,0.2322,0.5531,0.359,0.854,0.0781,0.2723
600960,渤海汽车,38.21,True,4.02,4.07,1,0.72,-10.51,-6.03,-1.19,0.0,从未跌破（观测期内）,2026-07-03,47.26,-0.3439,0.284,0.4866,0.3136,0.828,0.189,0.2723
600526,菲达环保,37.36,False,4.28,4.36,0,-1.92,-8.19,-5.91,-1.92,0.0,从未跌破（观测期内）,2026-07-03,34.33,0.0822,0.0665,0.2199,0.2759,0.5406,0.6336,0.2721
002151,北斗星通,143.69,False,32.45,32.77,0,-0.55,-12.38,-6.48,-0.99,0.0,从未跌破（观测期内）,2026-07-03,42.73,-0.1235,0.3265,0.4239,0.3306,0.7273,0.2935,0.2721
002588,史丹利,71.69,False,8.35,8.48,2,0.92,-9.15,-3.92,-1.49,0.0,从未跌破（观测期内）,2026-07-03,42.7,0.1037,0.1282,0.4072,0.3135,0.7268,0.3213,0.2719
002380,科远智慧,50.51,False,35.52,36.51,0,-2.71,-13.75,-7.53,-2.71,0.0,从未跌破（观测期内）,2026-07-03,43.43,0.4289,-0.2493,0.4645,0.3576,0.7428,0.2259,0.2718
002032,苏 泊 尔,336.1,False,42.04,41.61,2,1.03,-7.84,-5.03,1.03,0.0036,从未跌破（观测期内）,2026-07-03,47.13,0.1394,-0.52,0.2622,0.0836,0.8251,0.563,0.2718
605151,西上海,25.93,False,19.27,19.2,2,5.14,-11.12,-7.05,0.35,0.0,从未跌破（观测期内）,2026-07-03,50.52,-0.2783,0.4143,0.6431,0.3657,0.9005,0.0,0.2715
002666,德联集团,20.38,False,4.07,4.2,0,-3.2,-9.49,-6.32,-3.2,0.0,从未跌破（观测期内）,2026-07-03,31.25,0.1639,0.2695,0.2977,0.4061,0.4722,0.5038,0.2715
002183,怡 亚 通,128.81,False,4.96,5.61,1,2.75,-17.64,-8.97,-11.54,0.0,从未跌破（观测期内）,2026-07-03,41.18,0.7246,-0.2574,0.7425,0.5318,0.6928,0.0,0.2715
002873,新天药业,18.94,False,7.9,7.85,1,0.69,-10.96,-7.22,0.69,0.0,从未跌破（观测期内）,2026-07-03,45.11,-0.2594,0.0619,0.3631,0.2247,0.7801,0.3949,0.2714
002321,华英农业,38.23,False,1.8,1.77,2,1.49,-8.51,-4.72,1.49,0.0236,从未跌破（观测期内）,2026-07-03,45.45,-0.0595,-0.0907,0.3461,0.1637,0.7879,0.4232,0.2714
600169,ST太重,69.0,False,2.07,2.1,0,-0.54,-12.86,-5.17,-1.45,0.0,从未跌破（观测期内）,2026-07-03,33.96,-0.637,1.0703,0.3403,0.4,0.5325,0.4329,0.2714
603633,徕木股份,30.43,False,7.13,7.62,4,6.48,-16.59,-5.63,-6.47,0.0,从未跌破（观测期内）,2026-07-03,43.95,0.7382,-0.8423,0.5613,0.4429,0.7544,0.0645,0.2713
600640,国脉文化,80.34,False,10.15,10.45,0,-2.89,-12.18,-7.9,-2.89,0.0,从未跌破（观测期内）,2026-07-03,39.91,0.3439,-0.3653,0.3068,0.2602,0.6647,0.4886,0.2713
000019,深粮控股,24.64,False,5.92,6.06,1,0.14,-8.2,-4.46,-2.23,0.0,从未跌破（观测期内）,2026-07-03,30.43,0.6869,-0.4935,0.2932,0.4148,0.4541,0.5113,0.2712
002187,广百股份,34.27,False,4.89,5.05,0,-2.93,-11.1,-6.61,-3.13,0.0,从未跌破（观测期内）,2026-07-03,31.73,0.6913,-0.5493,0.3164,0.4148,0.4829,0.4727,0.2712
603031,安孚科技,166.06,True,52.82,53.26,6,16.69,-10.17,-2.14,-0.83,0.0214,从未跌破（观测期内）,2026-07-03,53.36,0.2715,-0.2087,0.7751,0.2795,0.9635,0.0,0.2711
603822,ST嘉澳,57.76,False,75.18,74.2,9,8.97,-13.04,-2.09,1.32,0.124,从未跌破（观测期内）,2026-07-03,45.3,0.3073,-0.8778,0.526,0.1844,0.7843,0.1234,0.2711
600104,上汽集团,1162.17,False,10.11,10.5,0,-3.68,-12.06,-8.54,-3.68,0.0,从未跌破（观测期内）,2026-07-03,27.12,-0.2948,0.963,0.2199,0.4,0.3804,0.6334,0.2711
002190,成飞集成,86.85,False,24.21,25.26,1,0.64,-14.42,-6.94,-4.15,0.0,从未跌破（观测期内）,2026-07-03,34.46,0.5905,0.1723,0.5746,0.6232,0.5435,0.0424,0.2709
000008,神州高铁,64.38,False,2.37,2.44,0,-0.49,-9.87,-3.87,-2.89,0.0,从未跌破（观测期内）,2026-07-03,43.75,-0.2894,0.1381,0.3715,0.2552,0.75,0.3809,0.2709
