code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date
002587,奥拓电子,36.81,True,6.91,6.89,12,3.06,-4.67,-0.5,0.25,0.2594,从未跌破（观测期内）,2026-06-17
603004,鼎龙科技,12.54,True,21.3,19.84,8,7.65,-9.43,-2.09,7.36,0.2589,从未跌破（观测期内）,2026-06-17
002617,露笑科技,171.43,True,9.13,9.02,11,19.35,-12.69,2.04,1.26,0.2574,从未跌破（观测期内）,2026-06-17
001268,联合精密,28.15,True,41.74,41.05,12,9.06,-8.48,0.83,1.68,0.2537,从未跌破（观测期内）,2026-06-17
002979,雷赛智能,124.1,True,55.96,55.03,9,37.58,-10.98,2.67,1.7,0.2523,从未跌破（观测期内）,2026-06-17
603327,福蓉科技,112.91,True,10.8,10.34,8,4.49,-6.04,-1.51,4.49,0.2515,从未跌破（观测期内）,2026-06-17
002935,天奥电子,91.67,True,22.15,20.24,5,10.28,-11.44,-2.63,9.46,0.2504,从未跌破（观测期内）,2026-06-17
002222,福晶科技,489.08,True,104.47,97.68,9,10.65,-16.03,-2.73,6.95,0.2486,从未跌破（观测期内）,2026-06-17
000070,特发信息,177.0,True,20.66,18.33,5,12.73,-11.05,-3.26,12.73,0.2481,从未跌破（观测期内）,2026-06-17
605258,协和电子,32.77,True,37.24,35.55,9,4.76,-10.06,-1.91,4.76,0.2457,从未跌破（观测期内）,2026-06-17
603459,红板科技,70.6,True,89.31,95.11,14,35.46,-20.88,6.86,-6.1,0.2417,从未跌破（观测期内）,2026-06-17
000063,中兴通讯,1516.0,True,37.64,36.91,10,6.04,-6.55,-0.26,1.98,0.2408,从未跌破（观测期内）,2026-06-17
603358,华达科技,165.41,True,35.82,37.88,17,10.56,-5.44,3.51,-5.44,0.2387,从未跌破（观测期内）,2026-06-17
603015,弘讯科技,49.6,True,12.27,12.27,14,9.48,-12.22,0.58,0.0,0.2373,从未跌破（观测期内）,2026-06-17
603206,嘉环科技,55.3,True,18.12,17.75,11,20.51,-16.12,0.37,2.07,0.236,从未跌破（观测期内）,2026-06-17
002823,凯中精密,37.54,True,17.15,18.09,15,19.24,-7.47,4.66,-5.19,0.2254,从未跌破（观测期内）,2026-06-17
